ShipmentID,ShipmentDate,PlannedArrivalDate,ActualArrivalDate,PlannedDuration,ActualDuration,DeliveryVariance,OnTimeDeliveryFlag,TotalWeight,TotalVolume,TotalPackages,ShipmentValue,ShipmentSize,ValueCategory,Season,Month,Year,CustomerKey,OriginLocationKey,DestinationLocationKey,FreightTypeKey
54714,2023-08-14 00:00:00.000,2023-08-16,2023-08-16,2.0,2.0,0.0,1,1582.0,0.0,5,0.0,Small,Low,Summer,8,2023,2,5088,5038,2
54715,2023-08-14 00:00:00.000,2023-08-16,2023-08-16,2.0,2.0,0.0,1,4655.0,0.0,19,0.0,Small,Low,Summer,8,2023,2,5088,5038,2
54863,2023-08-14 00:00:00.000,2023-08-16,2023-08-16,2.0,2.0,0.0,1,4775.0,0.0,33,0.0,Small,Low,Summer,8,2023,2,5088,5038,2
55898,2023-08-14 00:00:00.000,2023-08-16,2023-08-16,2.0,2.0,0.0,1,120.0,0.0,4,0.0,Small,Low,Summer,8,2023,2,5088,5038,2
55899,2023-08-14 00:00:00.000,2023-08-16,2023-08-16,2.0,2.0,0.0,1,0.0,0.0,26,0.0,Small,Low,Summer,8,2023,2,5088,5038,2
54845,2023-12-11 00:00:00.000,2023-12-13,,2.0,,,0,20.0,0.0,10,0.0,Small,Low,Winter,12,2023,2,594,594,1
56570,2024-12-16 00:00:00.000,2024-12-18,,2.0,,,0,3500.0,0.0,12,0.0,Small,Low,Winter,12,2024,2,5038,5088,1
56577,2024-12-16 00:00:00.000,2024-12-18,,2.0,,,0,3500.0,0.0,12,0.0,Small,Low,Winter,12,2024,2,5038,5088,1
56579,2024-12-16 00:00:00.000,2024-12-18,,2.0,,,0,3500.0,0.0,12,0.0,Small,Low,Winter,12,2024,2,5038,5088,1
56580,2024-12-16 00:00:00.000,2024-12-18,,2.0,,,0,3500.0,0.0,12,0.0,Small,Low,Winter,12,2024,2,5038,5088,1
56581,2024-12-16 00:00:00.000,2024-12-18,,2.0,,,0,3500.0,0.0,12,0.0,Small,Low,Winter,12,2024,2,5038,5088,1
56689,2024-12-16 00:00:00.000,2024-12-18,,2.0,,,0,3500.0,0.0,12,0.0,Small,Low,Winter,12,2024,2,5038,5088,1
55933,2024-09-06 00:00:00.000,2024-09-06,,0.0,,,0,360.0,0.0,3,0.0,Small,Low,Fall,9,2024,2,6731,4813,1
55934,2024-09-06 00:00:00.000,2024-09-06,,0.0,,,0,480.0,0.0,4,0.0,Small,Low,Fall,9,2024,2,6731,4813,1
55941,2024-09-06 00:00:00.000,2024-09-06,,0.0,,,0,240.0,0.0,2,0.0,Small,Low,Fall,9,2024,2,6731,4813,1
56567,2024-12-16 00:00:00.000,2024-12-18,,2.0,,,0,400.0,18.0,3,0.0,Small,Low,Winter,12,2024,2,5038,5088,1
56568,2024-12-16 00:00:00.000,2024-12-18,,2.0,,,0,120.0,0.0,1,0.0,Small,Low,Winter,12,2024,2,5038,5088,1
56569,2024-12-16 00:00:00.000,2024-12-18,,2.0,,,0,2500.0,0.0,3,0.0,Small,Low,Winter,12,2024,2,5038,5088,1
54856,2023-12-11 00:00:00.000,2023-12-13,,2.0,,,0,20.0,0.0,1,0.0,Small,Low,Winter,12,2023,2,594,594,1
55877,2024-03-29 00:00:00.000,2024-04-02,,4.0,,,0,120.0,0.0,1,0.0,Small,Low,Spring,3,2024,2,6731,4813,1
55911,2024-06-04 00:00:00.000,2024-06-12,,8.0,,,0,20.0,6.0,1,0.0,Small,Low,Summer,6,2024,2,5038,5088,1
55918,2024-06-04 00:00:00.000,2024-06-12,,8.0,,,0,500.0,0.0,2,0.0,Small,Low,Summer,6,2024,2,5038,5088,1
54713,2023-08-14 00:00:00.000,2023-08-16,2023-08-16,2.0,2.0,0.0,1,176.0,0.0,2,0.0,Small,Low,Summer,8,2023,2,5088,5038,2
55931,2024-09-06 00:00:00.000,2024-09-06,,0.0,,,0,240.0,0.0,2,0.0,Small,Low,Fall,9,2024,2,6731,4813,1
3614,2019-05-16 00:00:00.000,2019-05-17,,1.0,,,0,250.0,0.51,1,0.0,Small,Low,Spring,5,2019,5,1331,8101,1
