ShipmentID,ShipmentDate,PlannedArrivalDate,ActualDepartureDate,ActualArrivalDate,TotalWeight,TotalVolume,TotalPackages,ShipmentValue,IsDelivered,DurationDays,DateKey,CustomerKey,EquipmentKey,FreightTypeKey,OriginLocationKey,DestinationLocationKey
54374,2023-08-05,2023-08-07,,,6214.0,22.06,536,0.0,0,,20230805,3263.0,24.0,1.0,5038.0,5088.0
54368,2023-08-05,2023-08-07,,,3213.0,0.0,180,0.0,0,,20230805,2946.0,24.0,1.0,5038.0,5088.0
54368,2023-08-05,2023-08-07,,,3213.0,0.0,180,0.0,0,,20230805,3263.0,24.0,1.0,5038.0,5088.0
54370,2023-08-05,2023-08-07,,,223.0,0.0,29,0.0,0,,20230805,2946.0,24.0,1.0,5038.0,5088.0
54370,2023-08-05,2023-08-07,,,223.0,0.0,29,0.0,0,,20230805,3263.0,24.0,1.0,5038.0,5088.0
54371,2023-08-05,2023-08-07,,,95.0,0.0,10,0.0,0,,20230805,2946.0,24.0,1.0,5038.0,5088.0
54371,2023-08-05,2023-08-07,,,95.0,0.0,10,0.0,0,,20230805,3263.0,24.0,1.0,5038.0,5088.0
54369,2023-08-05,2023-08-07,,,1235.0,0.0,91,0.0,0,,20230805,2946.0,24.0,1.0,5038.0,5088.0
54369,2023-08-05,2023-08-07,,,1235.0,0.0,91,0.0,0,,20230805,3263.0,24.0,1.0,5038.0,5088.0
54372,2023-08-05,2023-08-07,,,74.0,0.0,7,0.0,0,,20230805,2946.0,24.0,1.0,5038.0,5088.0
54372,2023-08-05,2023-08-07,,,74.0,0.0,7,0.0,0,,20230805,3263.0,24.0,1.0,5038.0,5088.0
54373,2023-08-05,2023-08-07,,,28.0,0.0,2,0.0,0,,20230805,2946.0,24.0,1.0,5038.0,5088.0
54373,2023-08-05,2023-08-07,,,28.0,0.0,2,0.0,0,,20230805,3263.0,24.0,1.0,5038.0,5088.0
54359,2023-08-05,2023-08-07,,,4803.0,0.0,273,0.0,0,,20230805,2946.0,24.0,1.0,5038.0,5088.0
54359,2023-08-05,2023-08-07,,,4803.0,0.0,273,0.0,0,,20230805,3263.0,24.0,1.0,5038.0,5088.0
54365,2023-08-05,2023-08-07,,,1011.0,0.0,73,0.0,0,,20230805,2946.0,24.0,1.0,5038.0,5088.0
54365,2023-08-05,2023-08-07,,,1011.0,0.0,73,0.0,0,,20230805,3263.0,24.0,1.0,5038.0,5088.0
54366,2023-08-05,2023-08-07,,,930.0,0.0,60,0.0,0,,20230805,2946.0,24.0,1.0,5038.0,5088.0
54366,2023-08-05,2023-08-07,,,930.0,0.0,60,0.0,0,,20230805,3263.0,24.0,1.0,5038.0,5088.0
54285,2023-08-02,2023-08-04,,,777.0,5.57,53,0.0,0,,20230802,2946.0,24.0,1.0,5038.0,5088.0
54285,2023-08-02,2023-08-04,,,777.0,5.57,53,0.0,0,,20230802,3263.0,24.0,1.0,5038.0,5088.0
54286,2023-08-02,2023-08-04,,,89.0,0.84,10,0.0,0,,20230802,2946.0,24.0,1.0,5038.0,5088.0
54286,2023-08-02,2023-08-04,,,89.0,0.84,10,0.0,0,,20230802,3263.0,24.0,1.0,5038.0,5088.0
54287,2023-08-02,2023-08-04,,,245.0,9.65,3,0.0,0,,20230802,2946.0,24.0,1.0,5038.0,5088.0
54287,2023-08-02,2023-08-04,,,245.0,9.65,3,0.0,0,,20230802,3263.0,24.0,1.0,5038.0,5088.0
54279,2023-08-02,2023-08-04,,,70.0,0.65,7,0.0,0,,20230802,2946.0,24.0,1.0,5038.0,5088.0
54279,2023-08-02,2023-08-04,,,70.0,0.65,7,0.0,0,,20230802,3263.0,24.0,1.0,5038.0,5088.0
54280,2023-08-02,2023-08-04,,,56.0,0.49,6,0.0,0,,20230802,2946.0,24.0,1.0,5038.0,5088.0
54280,2023-08-02,2023-08-04,,,56.0,0.49,6,0.0,0,,20230802,3263.0,24.0,1.0,5038.0,5088.0
54281,2023-08-02,2023-08-04,,,443.0,3.57,38,0.0,0,,20230802,2946.0,24.0,1.0,5038.0,5088.0
54281,2023-08-02,2023-08-04,,,443.0,3.57,38,0.0,0,,20230802,3263.0,24.0,1.0,5038.0,5088.0
54282,2023-08-02,2023-08-04,,,865.0,6.73,72,0.0,0,,20230802,2946.0,24.0,1.0,5038.0,5088.0
54282,2023-08-02,2023-08-04,,,865.0,6.73,72,0.0,0,,20230802,3263.0,24.0,1.0,5038.0,5088.0
54283,2023-08-02,2023-08-04,,,1909.0,13.93,136,0.0,0,,20230802,2946.0,24.0,1.0,5038.0,5088.0
54283,2023-08-02,2023-08-04,,,1909.0,13.93,136,0.0,0,,20230802,3263.0,24.0,1.0,5038.0,5088.0
54284,2023-08-02,2023-08-04,,,177.0,1.29,15,0.0,0,,20230802,2946.0,24.0,1.0,5038.0,5088.0
54284,2023-08-02,2023-08-04,,,177.0,1.29,15,0.0,0,,20230802,3263.0,24.0,1.0,5038.0,5088.0
54175,2023-07-29,2023-07-31,,,1300.0,0.0,96,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54175,2023-07-29,2023-07-31,,,1300.0,0.0,96,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54177,2023-07-29,2023-07-31,,,832.0,0.0,57,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54177,2023-07-29,2023-07-31,,,832.0,0.0,57,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54179,2023-07-29,2023-07-31,,,92.0,0.0,10,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54179,2023-07-29,2023-07-31,,,92.0,0.0,10,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54178,2023-07-29,2023-07-31,,,710.0,0.0,5,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54178,2023-07-29,2023-07-31,,,710.0,0.0,5,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54277,2023-08-02,2023-08-04,,,525.0,4.56,58,0.0,0,,20230802,2946.0,24.0,1.0,5038.0,5088.0
54277,2023-08-02,2023-08-04,,,525.0,4.56,58,0.0,0,,20230802,3263.0,24.0,1.0,5038.0,5088.0
54278,2023-08-02,2023-08-04,,,200.0,1.57,1,0.0,0,,20230802,2946.0,24.0,1.0,5038.0,5088.0
54278,2023-08-02,2023-08-04,,,200.0,1.57,1,0.0,0,,20230802,3263.0,24.0,1.0,5038.0,5088.0
54167,2023-07-29,2023-07-31,,,6224.0,0.0,12,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54167,2023-07-29,2023-07-31,,,6224.0,0.0,12,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54168,2023-07-29,2023-07-31,,,3580.0,0.0,12,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54168,2023-07-29,2023-07-31,,,3580.0,0.0,12,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54171,2023-07-29,2023-07-31,,,2922.0,0.0,178,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54171,2023-07-29,2023-07-31,,,2922.0,0.0,178,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54172,2023-07-29,2023-07-31,,,144.0,0.0,10,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54172,2023-07-29,2023-07-31,,,144.0,0.0,10,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54173,2023-07-29,2023-07-31,,,1499.0,0.0,127,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54173,2023-07-29,2023-07-31,,,1499.0,0.0,127,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54174,2023-07-29,2023-07-31,,,1295.0,0.0,81,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54174,2023-07-29,2023-07-31,,,1295.0,0.0,81,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
54161,2023-07-29,2023-07-31,,,288.0,0.0,33,0.0,0,,20230729,2946.0,24.0,1.0,5038.0,5088.0
54161,2023-07-29,2023-07-31,,,288.0,0.0,33,0.0,0,,20230729,3263.0,24.0,1.0,5038.0,5088.0
