CustomerKey,TotalInvoices,TotalRevenue,AvgInvoiceValue,RiskScore
0,16717,25469609.38,1523.5753651971047,0.5531774893608
1,34,255031.736,7500.933411764706,0.68991930865034
2,5,2544.0,508.8,0.3802522944373796
3,1,240.0,240.0,0.5820122965355865
4,11,154638.41,14058.037272727273,0.5718057115474243
6,48,15360.337,320.00702083333334,0.40554690318243947
7,1,280.5,280.5,0.1685891200455516
8,2,890.0,445.0,0.5264591634092285
9,41,11466.599999999999,279.6731707317073,0.5357331269552441
11,1,1747.84,1747.84,0.9000510572345208
13,294,884571.3859999999,3008.7462108843533,0.888072092851526
22,1,814.56,814.56,0.519064419740857
27,4,14018.5,3504.625,0.23099534016321432
40,3,3.57,1.19,0.14694729415475383
57,1,0.6,0.6,0.5100787870131
65,3,1063.28,354.4266666666667,0.47371750741339347
73,1,250.5,250.5,0.8001118829949134
74,2,1694.106,847.053,0.30102947492313414
81,1,1484.93,1484.93,0.22996915289727482
82,8,2961.0719999999997,370.13399999999996,0.14355309970789054
85,1,214.8,214.8,0.10335333538738434
89,3,288.58500000000004,96.19500000000001,0.654480393234909
90,3,2889.93,963.31,0.7302300100845605
94,3,519.855,173.285,0.8797892144976464
95,8,16722.521,2090.315125,0.1835313930266299
99,10,2480.2219999999998,248.02219999999997,0.25109244055376645
100,9,5805.6900000000005,645.0766666666667,0.703731152595349
104,1,215.2,215.2,0.24342475387625884
108,5,3650.0,730.0,0.928307909125343
111,2,85.541,42.7705,0.35529498135313453
117,3,4220.064,1406.688,0.07898284696106161
119,3,637.9,212.63333333333333,0.8247831540424091
127,8,38.099999999999994,4.762499999999999,0.4030547651717471
129,27,22124.818,819.4377037037037,0.2464632535384792
131,3,1449.0,483.0,0.6769816606482028
133,53,32318.767,609.7880566037736,0.01972671248687541
136,2,235.03499999999997,117.51749999999998,0.17897451246195772
138,18,17160.0,953.3333333333334,0.22660643469061004
161,3,644.8,214.9333333333333,0.6667659757295775
166,2,186.24,93.12,0.4076956601723545
167,78,39290.922,503.7297692307692,0.4067138566727707
170,6,4412.0650000000005,735.3441666666668,0.8964435820475224
192,1,353.3,353.3,0.4397916986904258
194,2,1547.81,773.905,0.712971066796857
195,21,693.81,33.03857142857142,0.8809680245566659
200,15,7.6,0.5066666666666666,0.9049210960407545
201,8,490.0,61.25,0.7617805785775339
205,53,14912.323999999999,281.36460377358486,0.3117668947528961
206,99,312504.0,3156.6060606060605,0.07568384638075831
207,3,663.0,221.0,0.449816903876033
218,3,1511.91,503.97,0.7602886813087515
220,5,1521.8999999999999,304.38,0.6806153916641735
225,23,15563.635,676.6797826086956,0.7901499326096942
226,6,2360.925,393.4875,0.9844298358177025
235,11,3488.06,317.0963636363636,0.8357443033569558
238,20,6108.11,305.40549999999996,0.7195390627106828
253,12,11247.128999999999,937.2607499999999,0.20151815384164695
254,2,56204.034999999996,28102.017499999998,0.6726956122034504
256,4,250.905,62.72625,0.010562971236165675
259,53,218845.913,4129.168169811321,0.2788557156988152
264,1,36.7,36.7,0.4114163670742885
270,2,538.231,269.1155,0.17130352960750161
272,12,9923.5,826.9583333333334,0.39439726626844107
273,35,11828.039,337.94397142857144,0.8058046777295754
282,2,549.5,274.75,0.46323944715977905
284,4,4645.719,1161.42975,0.8402528416727416
290,10,21333.912,2133.3912,0.15162195612117546
293,459,5503749.53,11990.739716775599,0.28744933011343665
304,16,139200.0,8700.0,0.524148188940014
305,1,503.97,503.97,0.6651157794951823
318,3,288.195,96.065,0.6187135881254258
321,1,1.0,1.0,0.9465976591112563
331,3,663.0,221.0,0.2589907338993782
335,2,1.2,0.6,0.48643064562119154
337,3,877.1999999999999,292.4,0.8091177783435426
340,14,31699.69,2264.263571428571,0.8518575666053612
343,9,648.0,72.0,0.7906771967735419
345,1,372.828,372.828,0.5827964766207195
348,4,10950.0,2737.5,0.616478201444208
349,10,11010.0,1101.0,0.2962389180869516
