CustomerKey,TotalInvoices,TotalRevenue,AvgInvoiceValue
772,8,5289.728,661.216
776,144,379927.407,2638.3847708333333
777,8,36928.618,4616.07725
783,1,352.3,352.3
784,4,179.7,44.925
815,3,30560.391000000003,10186.797
820,5,1943.1100000000001,388.622
822,3,1223.14,407.71333333333337
823,4,1418.407,354.60175
834,6,9402.853,1567.1421666666665
842,6,1560.0,260.0
846,1,280.9,280.9
857,39,61919.524999999994,1587.680128205128
858,35,419120.142,11974.8612
861,5,6350.172,1270.0344
863,2,465.8,232.9
864,1,250.5,250.5
880,2,93.425,46.7125
883,3,27312.300000000003,9104.1
887,6,3747.6449999999995,624.6075
889,1,1.0,1.0
896,9,694925.6000000001,77213.95555555557
897,3,842.6999999999999,280.9
907,3,644.4000000000001,214.80000000000004
908,2,5943.13,2971.565
915,6,409.19000000000005,68.19833333333334
917,1,1756.086,1756.086
918,7,1868.3,266.9
922,20,28362.815,1418.14075
926,3,6568.071,2189.357
927,5,765.7249999999999,153.14499999999998
928,3,1189.13,396.3766666666667
937,2,561.0,280.5
940,348,1719.6999999999998,4.941666666666666
945,2,646.4570000000001,323.22850000000005
948,27,12817.391,474.7181851851852
952,41,14198.325,346.3006097560976
953,7,2771.75,395.9642857142857
958,1,280.9,280.9
969,2,674.261,337.1305
971,1,1962.51,1962.51
972,2,702.047,351.0235
974,11,28236.772,2566.979272727273
980,1,0.0,0.0
987,63,120360.6,1910.4857142857143
990,11,15658.054,1423.4594545454545
991,30,127854.394,4261.813133333333
998,3,34419.33,11473.11
1005,3,1350.0,450.0
1011,10,5532.759999999999,553.276
1013,532,919520.401,1728.4218063909773
1015,1,116.03,116.03
1025,3,963.925,321.30833333333334
1028,2,825.862,412.931
1032,27,23718.0,878.4444444444445
1035,2,640.4000000000001,320.20000000000005
1042,4,884.0,221.0
1047,7,4466.7,638.1
1049,22,956.6600000000001,43.48454545454546
1056,4,1242.3400000000001,310.58500000000004
1057,3,947.8499999999999,315.95
1058,62,80636.462,1300.5880967741934
1064,5,2602.249,520.4498
1065,4,1665.4589999999998,416.36474999999996
1067,3,8513.511,2837.837
1070,3,1.2,0.39999999999999997
1080,3,232.04999999999998,77.35
1094,24,19649.399999999998,818.7249999999999
1098,1,1.0,1.0
1099,3,855.0,285.0
1101,4,710.505,177.62625
1106,55,40789.091,741.6198363636364
1110,9,217.8,24.200000000000003
1111,75,174442.458,2325.89944
1118,12,15163.591,1263.6325833333333
1119,3,915.72,305.24
1134,3,771.0,257.0
1155,3,10802.239,3600.746333333333
1158,2,1007.94,503.97
1160,60,499132.62299999996,8318.87705
1162,9,4457.799,495.311
